,Unnamed: 0,hostname,pl_mass (Mj),pl_mass_max,pl_mass_min,pl_mass_limflag,pl_orb_period,pl_orb_per_max,pl_orb_per_min,pl_orb_per_limflag,pl_semImjr_axis,pl_semImjr_axis_max,pl_semImjr_axis_min,pl_semImjr_axisax_limflag,[Fe/H]
367,367,HATS-42,1.88,0.15,-0.15,0,2.292102,0.0000021,-0.0000021,0,0.03689,0.00065,-0.00065,0,0.22
369,369,HATS-44,0.56,0.11,-0.11,0,2.7439004,0.0000032,-0.0000032,0,0.03649,0.0003,-0.0003,0,0.32
370,370,HATS-45,0.7,0.15,-0.15,0,4.1876244,0.0000056,-0.0000056,0,0.05511,0.00069,-0.00069,0,0.02
372,372,HATS-47,0.369,0.031,-0.021,0,3.9228038,0.0000022,-0.0000022,0,0.04269,0.00033,-0.00025,0,-0.11
373,373,HATS-49,0.353,0.038,-0.027,0,4.1480467,0.0000037,-0.0000037,0,0.04515,0.00016,-0.00016,0,0.21
375,375,HATS-50,0.39,0.1,-0.1,0,3.8297015,0.0000046,-0.0000046,0,0.05046,0.0006,-0.0006,0,0.3
376,376,HATS-51,0.768,0.045,-0.045,0,3.3488702,0.0000039,-0.0000039,0,0.04639,0.00077,-0.00077,0,0.49
377,377,HATS-52,2.24,0.15,-0.15,0,1.36665436,0.00000094,-0.00000094,0,0.02498,0.0004,-0.0004,0,0.22
378,378,HATS-53,0.595,0.089,-0.089,0,3.8537768,0.0000038,-0.0000038,0,0.04753,0.00066,-0.00066,0,0.01
379,379,HATS-54,0.753,0.057,-0.057,0,2.5441765,0.0000024,-0.0000024,0,0.037,0.001,-0.001,0,0.4
380,380,HATS-55,0.921,0.076,-0.076,0,4.2042001,0.0000033,-0.0000033,0,0.05412,0.00014,-0.00018,0,0.11
381,381,HATS-56,0.602,0.035,-0.035,0,4.324799,0.000027,-0.000027,0,0.06043,0.00022,-0.00022,0,0.25
382,382,HATS-57,3.147,0.073,-0.073,0,2.350621,0.0000013,-0.0000013,0,0.03493,0.00021,-0.0003,0,0.26
383,383,HATS-59,0.806,0.069,-0.069,0,5.416081,0.000016,-0.000016,0,0.06112,0.00076,-0.00076,0,0.18
384,384,HATS-59,12.7,0.87,-0.87,0,1422,14,-14,0,2.504,0.035,-0.035,0,0.18
385,385,HATS-6,0.319,0.07,-0.07,0,3.3252725,0.0000021,-0.0000021,0,0.03623,0.00042,-0.00057,0,0.2
386,386,HATS-60,0.662,0.055,-0.055,0,3.560829,0.000032,-0.000032,0,0.04708,0.00015,-0.00023,0,0.33
387,387,HATS-61,3.4,0.14,-0.14,0,7.817953,0.000024,-0.000024,0,0.07908,0.00033,-0.00033,0,0.5
